X,Y,Z
2.916776000000000035e+00,-1.920768000000000031e+00,-1.630407999999999857e+00
2.242847999999999953e+00,-2.413159999999999972e+00,4.767759999999999776e-01
2.474647999999999737e+00,-2.445367999999999764e+00,6.436720000000000219e-01
1.728983999999999854e+00,-2.137928000000000051e+00,8.945039999999999658e-01
1.602103999999999973e+00,-1.893928000000000056e+00,3.196399999999999797e-01
1.204871999999999943e+00,-1.869527999999999857e+00,2.376560000000000061e-01
7.129679999999999351e-01,-2.556632000000000016e+00,4.318799999999999861e-01
1.476199999999999957e+00,-3.126128000000000018e+00,-2.166720000000000035e-01
4.440799999999999748e-01,-3.041703999999999741e+00,-2.176480000000000081e-01
2.644960000000000089e-01,-2.532719999999999860e+00,-8.403359999999999719e-01
-3.347680000000000100e-01,-2.464887999999999746e+00,1.951999999999999959e-03
-2.664480000000000182e-01,-2.347767999999999855e+00,-3.596559999999999757e-01
-1.571359999999999979e-01,-2.496119999999999894e+00,-1.527439999999999909e-01
-5.529039999999999511e-01,-2.510759999999999881e+00,3.162240000000000051e-01
-9.974720000000000253e-01,-2.239431999999999867e+00,1.244399999999999951e-01
-1.414711999999999970e+00,-2.024712000000000067e+00,-2.508319999999999994e-01
-1.149728000000000083e+00,-1.959807999999999995e+00,-1.420079999999999953e-01
-1.695311999999999930e+00,-2.074975999999999932e+00,5.021520000000000428e-01
-1.832927999999999891e+00,-1.849520000000000053e+00,1.176080000000000042e-01
-2.072048000000000112e+00,-1.739231999999999889e+00,-2.274079999999999990e-01
-2.001288000000000178e+00,-1.680671999999999944e+00,-6.402559999999999363e-01
-2.299456000000000166e+00,-1.611375999999999920e+00,-2.191120000000000012e-01
-2.507343999999999795e+00,-1.465463999999999878e+00,2.688880000000000159e-01
-2.698640000000000150e+00,-1.332239999999999869e+00,1.093119999999999925e-01
-2.943616000000000010e+00,-1.082872000000000057e+00,-2.957279999999999909e-01
-2.656184000000000101e+00,-8.627839999999999954e-01,-3.498959999999999848e-01
-2.702055999999999791e+00,-6.178080000000000238e-01,9.271999999999999686e-02
-2.676191999999999904e+00,-4.123600000000000043e-01,1.761679999999999913e-01
-2.881152000000000157e+00,-2.376560000000000061e-01,7.563999999999999890e-02
-2.886032000000000153e+00,-2.532719999999999971e-01,-1.512799999999999909e-02
-2.987048000000000147e+00,-2.166720000000000035e-01,-2.391199999999999992e-01
-2.979239999999999888e+00,-4.782399999999999984e-01,-1.208776000000000073e+00
-3.708800000000000097e+00,3.635599999999999943e-01,5.475360000000000227e-01
-3.324743999999999922e+00,9.784399999999999764e-01,4.831200000000000078e-02
-2.781600000000000072e+00,1.139480000000000048e+00,-7.324880000000000280e-01
-3.039263999999999744e+00,1.689943999999999891e+00,1.756311999999999873e+00
-3.387696000000000041e+00,2.285791999999999824e+00,1.462536000000000058e+00
-2.072048000000000112e+00,2.049112000000000045e+00,-3.516039999999999832e+00
-1.802184000000000008e+00,1.749479999999999924e+00,-1.730936000000000030e+00
-1.179495999999999878e+00,1.781199999999999894e+00,1.788519999999999888e+00
-2.216495999999999800e+00,2.710351999999999872e+00,1.330287999999999915e+00
-2.607871999999999968e+00,2.644959999999999756e+00,-8.359440000000000204e-01
-2.996808000000000138e+00,2.673751999999999907e+00,3.250080000000000191e-01
-3.009983999999999771e+00,3.241783999999999999e+00,-2.244799999999999851e-01
-2.244800000000000129e+00,3.062688000000000077e+00,-9.696559999999999624e-01
